Track #0, length 12
Track #37, length 12
 53640136 (3392) module 51, x -8.1525, y -30.0725, z 751.531
 51534033 (3283) module 49, x -7.6575, y -28.175, z 706.531
 49428187 (3159) module 47, x -7.1075, y -26.2775, z 661.531
 47322084 (3034) module 45, x -6.6125, y -24.3525, z 616.531
 45202173 (2906) module 43, x  -5.21, y -19.3475, z 497.982
 44760838 (2779) module 42, x -5.0725, y -18.8225, z 484.921
 42658639 (2632) module 40, x -3.9725, y -14.8075, z 389.411
 40557194 (2484) module 38, x -3.065, y -11.5625, z 312.463
 38457018 (2329) module 36, x -2.3775, y -8.9225, z 250.469
 36358605 (2165) module 34, x -2.1025, y -7.8775, z 225.469
 34260192 (2003) module 32, x -1.8275, y -6.8325, z 200.469
 32161779 (1847) module 30, x -1.5525, y -5.7875, z 175.469

Track #38, length 4
 53531608 (3395) module 51, x -7.2725, y -6.5325, z 751.531
 51432672 (3285) module 49, x -6.8325, y -6.1475, z 706.531
 49333736 (3160) module 47, x -6.3925, y -5.7625, z 661.531
 47234800 (3037) module 45, x -5.9525, y -5.3775, z 616.531

Track #39, length 11
 54312107 (3402) module 51, x -5.2675, y 23.7175, z 751.531
 52213445 (3290) module 49, x -4.965, y 22.2875, z 706.531
 50115039 (3166) module 47, x -4.6625, y 20.8575, z 661.531
 48016377 (3040) module 45, x -4.3325, y 19.4275, z 616.531
 45769536 (2908) module 43, x -3.5075, y 15.6325, z 496.921
 43675767 (2763) module 41, x -2.7925, y 12.6075, z 401.411
 41581219 (2615) module 39, x -2.2425, y 10.1875, z 324.463
 39486150 (2467) module 37, x -1.8025, y  8.235, z 262.469
 37389781 (2309) module 35, x -1.6375, y 7.4375, z 237.469
 35293411 (2146) module 33, x -1.4725, y 6.6675, z 212.469
 33197041 (1982) module 31, x -1.28917, y 5.86083, z 187.469

Track #40, length 6
 54175610 (3406) module 51, x 0.232498, y 12.415, z 750.469
 52078729 (3293) module 49, x 0.287498, y 11.6175, z 705.469
 49981592 (3170) module 47, x 0.287498, y 10.7925, z 660.469
 47884454 (3044) module 45, x 0.287498, y 10.0225, z 615.469
 45787339 (2913) module 43, x 0.287498, y   7.96, z 496.921
 43690217 (2768) module 41, x 0.287498, y   6.31, z 401.411

Track #41, length 7
 54191415 (3409) module 51, x   3.67, y 16.1275, z 750.469
 52093257 (3296) module 49, x 3.4225, y  15.11, z 705.469
 49995100 (3175) module 47, x 3.2025, y 14.0925, z 660.469
 47896942 (3049) module 45, x 2.9825, y 13.075, z 615.469
 45797023 (2916) module 43, x 2.3775, y 10.4075, z 496.921
 43697607 (2771) module 41, x 1.8825, y 8.2075, z 401.411
 41598694 (2621) module 39, x 1.4975, y  6.475, z 324.463

Track #42, length 6
 53144709 (3301) module 50, x -4.0275, y -11.8375, z 738.469
 51046290 (3182) module 48, x  -3.78, y -11.1225, z 693.469
 48948128 (3054) module 46, x -3.5325, y -10.3525, z 648.469
 46849709 (2922) module 44, x -3.2575, y  -9.61, z 603.469
 44749521 (2782) module 42, x -2.5975, y  -7.63, z 484.921
 42650094 (2634) module 40, x -2.1025, y -6.035, z 389.411

Track #43, length 6
 53142664 (3303) module 50, x -3.615, y -11.6725, z 738.469
 51044502 (3184) module 48, x -3.395, y -10.9025, z 693.469
 48946595 (3055) module 46, x -3.2025, y -10.1875, z 648.469
 46848433 (2924) module 44, x -2.9825, y -9.4175, z 603.469
 44748756 (2783) module 42, x -2.4325, y -7.465, z 484.921
 42649329 (2635) module 40, x -1.9375, y -5.8975, z 389.411

Track #44, length 5
 53139637 (3305) module 50, x -2.955, y -9.1975, z 738.469
 51043010 (3186) module 48, x -3.0375, y -8.4825, z 693.469
 48946382 (3057) module 46, x -3.1475, y -7.795, z 648.469
 46849499 (2923) module 44, x  -3.23, y  -7.08, z 603.469
 44754174 (2781) module 42, x -3.615, y -5.1825, z 484.921

Track #45, length 5
 53127879 (3307) module 50, x -0.397499, y -8.2075, z 738.469
 51030736 (3188) module 48, x -0.397499, y -7.685, z 693.469
 48933338 (3060) module 46, x -0.342499, y -7.1625, z 648.469
 46836195 (2928) module 44, x -0.342499, y -6.6675, z 603.469
 44738812 (2788) module 42, x -0.287498, y -5.2925, z 484.921

Track #46, length 5
 53126835 (3309) module 50, x -0.177498, y -9.3075, z 738.469
 51029694 (3190) module 48, x -0.177498, y -8.7025, z 693.469
 48932553 (3061) module 46, x -0.177498, y -8.0975, z 648.469
 46835412 (2929) module 44, x -0.177498, y -7.4925, z 603.469
 44738033 (2789) module 42, x -0.122498, y -5.8975, z 484.921

Track #47, length 10
 53242048 (3311) module 50, x 0.6475, y -22.5625, z 739.531
 51144666 (3192) module 48, x 0.5925, y -21.1325, z 694.531
