Track #0, length 4
 27968251 (1854) module 26, x -1.7175, y -5.3475, z 125.469

Track #43, length 12
 53569772 (3432) module 51, x -6.1725, y -14.8375, z 751.531
 51469298 (3325) module 49, x -5.8425, y -14.1225, z 706.531
 49368823 (3209) module 47, x -5.5675, y -13.435, z 661.531
 47268348 (3097) module 45, x -5.2925, y -12.72, z 616.531
 44757915 (2886) module 42, x -4.4125, y -10.6275, z 484.921
 42657974 (2763) module 40, x -3.8075, y -9.1425, z 389.411
 40558284 (2640) module 38, x -3.285, y -7.9325, z 312.463
 38459358 (2525) module 36, x -2.8725, y -6.9425, z 250.469
 36361445 (2401) module 34, x -2.7075, y -6.5575, z 225.469
 34263533 (2266) module 32, x -2.5425, y -6.1175, z 200.469
 32165620 (2126) module 30, x -2.3775, y -5.7325, z 175.469
 30067707 (1994) module 28, x -2.2125, y -5.3475, z 150.469

Track #44, length 5
 54147788 (3435) module 51, x -5.7625, y 7.9325, z 750.469
 52052180 (3329) module 49, x -5.4325, y  7.465, z 705.469
 49956573 (3214) module 47, x -5.1025, y 6.9975, z 660.469
 47860965 (3098) module 45, x -4.7725, y 6.5575, z 615.469
 45767931 (2989) module 43, x -3.8925, y 5.3475, z 496.921

Track #45, length 5
 54276011 (3447) module 51, x   2.46, y 23.7175, z 751.531
 52179652 (3338) module 49, x  2.295, y 22.3425, z 706.531
 50083293 (3224) module 47, x   2.13, y 20.9675, z 661.531
 47986933 (3110) module 45, x 1.9925, y  19.62, z 616.531
 45793337 (3001) module 43, x 1.6075, y 16.0175, z 496.921

Track #46, length 6
 53546223 (3433) module 51, x -6.0075, y -9.7775, z 751.531
 51446262 (3326) module 49, x -5.6225, y -9.1725, z 706.531
 49347069 (3211) module 47, x -5.2375, y -8.6225, z 661.531
 46856909 (3005) module 44, x -4.7975, y -7.8775, z 603.469
 44755432 (2887) module 42, x -3.8625, y -6.3925, z 484.921
 42654719 (2764) module 40, x -3.0925, y -5.1275, z 389.411

Track #47, length 15
