Track #0, length 13
 35305196 (1228) module 33, x 1.0575, y  6.145, z 212.469
 33207546 (1147) module 31, x 0.947498, y 5.4025, z 187.469

Track #32, length 5
 54194602 (1917) module 51, x   4.33, y 9.8025, z 750.469
 52096182 (1828) module 49, x  4.055, y 9.1425, z 705.469
 49997761 (1755) module 47, x   3.78, y 8.5375, z 660.469
 47899341 (1681) module 45, x  3.505, y 7.8775, z 615.469
 45798891 (1610) module 43, x 2.7625, y    6.2, z 496.921

Track #33, length 4
 53139683 (1829) module 50, x -2.9275, y -6.6675, z 738.469
 51041515 (1757) module 48, x -2.735, y -6.2275, z 693.469
 48943603 (1682) module 46, x -2.5425, y -5.7875, z 648.469
 46845435 (1612) module 44, x -2.3225, y -5.3475, z 603.469

Track #34, length 7
 53136431 (1830) module 50, x -2.295, y -16.5675, z 738.469
 51038787 (1758) module 48, x -2.1575, y -15.4675, z 693.469
 48940887 (1683) module 46, x -1.9925, y -14.3675, z 648.469
 46842987 (1613) module 44, x -1.8275, y -13.2675, z 603.469
 44743840 (1542) module 42, x -1.415, y -10.3525, z 484.921
 42645194 (1466) module 40, x -1.085, y -8.0425, z 389.411
 40547052 (1387) module 38, x -0.837498, y -6.1725, z 312.463

Track #35, length 5
 53135557 (1831) module 50, x -2.0475, y  -8.29, z 738.469
 51037901 (1759) module 48, x -1.9375, y -7.8775, z 693.469
 48940245 (1684) module 46, x -1.8275, y -7.4375, z 648.469
 46842589 (1614) module 44, x -1.7175, y -6.9975, z 603.469
 44744178 (1541) module 42, x -1.4425, y -5.8425, z 484.921

Track #36, length 7
 53117235 (1835) module 50, x 1.8575, y -16.3475, z 738.469
 51020871 (1763) module 48, x 1.6925, y -15.2475, z 693.469
 48924250 (1686) module 46, x 1.5825, y -14.175, z 648.469
 46827630 (1615) module 44, x 1.4725, y -13.1025, z 603.469
 44732066 (1543) module 42, x 1.1425, y -10.2425, z 484.921
 42635980 (1467) module 40, x 0.922501, y -7.9325, z 389.411
 40539886 (1388) module 38, x 0.702499, y -6.0625, z 312.463

Track #37, length 7
 53115006 (1837) module 50, x 2.3525, y -12.2225, z 738.469
 51018636 (1764) module 48, x 2.1875, y -11.4525, z 693.469
 48922009 (1687) module 46, x   2.05, y -10.7375, z 648.469
 46825639 (1616) module 44, x 1.9125, y -9.9675, z 603.469
 44730315 (1544) module 42, x 1.5275, y -7.9875, z 484.921
 42634728 (1468) module 40, x 1.1975, y -6.3925, z 389.411
 40538623 (1389) module 38, x 0.977501, y -5.1275, z 312.463

Track #38, length 4
 53103560 (1838) module 50, x 4.8275, y -8.125, z 738.469
 51007954 (1765) module 48, x 4.4975, y -7.6025, z 693.469
 48912348 (1689) module 46, x 4.1675, y -7.0525, z 648.469
 46816486 (1617) module 44, x  3.865, y -6.5025, z 603.469

Track #39, length 6
 52504796 (1841) module 50, x 7.0525, y 11.3175, z 739.531
 50404068 (1768) module 48, x 6.6125, y 10.5475, z 694.531
 48303341 (1691) module 46, x 6.1175, y 9.7775, z 649.531
 46203126 (1618) module 44, x 5.6225, y   9.09, z 604.531
 45807064 (1611) module 43, x 4.5225, y 7.2725, z 496.921
 43705333 (1539) module 41, x 3.5325, y 5.6775, z 401.411

Track #40, length 4
 52464596 (1842) module 50, x 7.4925, y    2.6, z 739.531
 50366685 (1769) module 48, x 6.9975, y 2.4075, z 694.531
 48268774 (1692) module 46, x 6.5025, y 2.2425, z 649.531
 46170863 (1619) module 44, x 6.0075, y 2.0775, z 604.531

Track #41, length 10
 53086802 (1843) module 50, x 8.4025, y -14.6425, z 738.469
 50991712 (1770) module 48, x 7.9625, y -13.845, z 693.469
 48896623 (1694) module 46, x 7.5225, y -13.0475, z 648.469
 46801533 (1621) module 44, x 7.0825, y -12.25, z 603.469
