Track #0, length 12
 52505812 (2286) module 50, x 7.4925, y 11.5375, z 739.531
 50405341 (2199) module 48, x 6.9975, y 10.8225, z 694.531
 48304613 (2113) module 46, x 6.52083, y 10.0892, z 649.531
 46204142 (2028) module 44, x  6.035, y 9.3375, z 604.531
 45808594 (2015) module 43, x 4.8525, y 7.6025, z 496.921
 43706863 (1915) module 41, x 3.8625, y 6.0075, z 401.411

Track #44, length 7
 52518060 (2287) module 50, x  9.665, y 14.1775, z 739.531
 50416568 (2200) module 48, x 9.0325, y 13.2425, z 694.531
 48315076 (2114) module 46, x 8.3725, y 12.3075, z 649.531
 46213583 (2029) module 44, x 7.7675, y 11.3725, z 604.531
 44105453 (1930) module 42, x 6.1175, y 8.8975, z 485.982
 43711706 (1916) module 41, x 4.9075, y 7.1625, z 401.411
 41609463 (1814) module 39, x 3.8075, y 5.5675, z 324.463

Track #45, length 9
 52587938 (2288) module 50, x 10.2425, y 29.3025, z 739.531
 50482095 (2201) module 48, x 9.5275, y 27.4325, z 694.531
 48375994 (2115) module 46, x 8.9225, y 25.5075, z 649.531
 46270150 (2030) module 44, x 8.2625, y 23.6375, z 604.531
 44149989 (1932) module 42, x 6.5575, y 18.5775, z 485.982
 42033918 (1827) module 40, x 5.1825, y 14.5075, z 390.473
 41611141 (1816) module 39, x 4.21083, y 11.8192, z 324.463
 39509940 (1709) module 37, x 3.3125, y 9.2525, z 262.469
 37411015 (1610) module 35, x  2.955, y 8.2075, z 237.469

Track #46, length 9
 52589469 (2289) module 50, x 10.5175, y 29.6325, z 739.531
 50483112 (2202) module 48, x 9.9125, y 27.6525, z 694.531
 48377012 (2116) module 46, x 9.2525, y 25.755, z 649.531
 46271168 (2031) module 44, x 8.5925, y 23.8575, z 604.531
 44150753 (1933) module 42, x 6.7775, y 18.7425, z 485.982
 42034685 (1828) module 40, x 5.2375, y 14.6725, z 390.473
 41611141 (1816) module 39, x 4.21083, y 11.8192, z 324.463
 39509940 (1709) module 37, x 3.3125, y 9.2525, z 262.469
 37411015 (1610) module 35, x  2.955, y 8.2075, z 237.469

Track #47, length 6
 52473472 (2290) module 50, x 12.1125, y 4.4975, z 739.531
 50374798 (2203) module 48, x 11.3425, y 4.1675, z 694.531
 48276381 (2118) module 46, x 10.5175, y 3.8925, z 649.531
 46177963 (2032) module 44, x 9.7475, y 3.6175, z 604.531
 44077010 (1934) module 42, x 7.6025, y   2.82, z 485.982
 41977072 (1829) module 40, x 5.9525, y 2.1875, z 390.473

Track #48, length 7
 52460382 (2291) module 50, x 13.9825, y 1.6925, z 739.531
 50362735 (2204) module 48, x 13.0475, y 1.5825, z 694.531
 48265087 (2119) module 46, x 12.1675, y 1.4725, z 649.531
 46167183 (2034) module 44, x 11.2875, y  1.335, z 604.531
 44068795 (1937) module 42, x 8.8675, y 1.0325, z 485.982
 41970655 (1831) module 40, x 6.8875, y 0.8125, z 390.473
 39872764 (1720) module 38, x 5.2925, y 0.6475, z 313.525

Track #49, length 7
 52512838 (2292) module 50, x 15.3025, y 13.0775, z 739.531
 50411608 (2205) module 48, x 14.3125, y 12.225, z 694.531
 48310634 (2120) module 46, x 13.3225, y 11.3725, z 649.531
 46209660 (2035) module 44, x 12.3325, y 10.5475, z 604.531
 44102571 (1939) module 42, x 9.7475, y 8.2925, z 485.982
 41997264 (1834) module 40, x 7.7125, y 6.5325, z 390.473
 39893486 (1723) module 38, x  6.035, y 5.1025, z 313.525

Track #50, length 9
 52543555 (2293) module 50, x 15.4675, y 19.6775, z 739.531
 50440533 (2206) module 48, x 14.4775, y 18.4125, z 694.531
