Track #0, length 7
 54164589 (2565) module 51, x -2.1325, y 13.1575, z 750.469
 52068221 (2470) module 49, x -1.9675, y 12.2775, z 705.469
 49971597 (2368) module 47, x -1.8575, y 11.3975, z 660.469
 47875229 (2267) module 45, x -1.6925, y 10.5175, z 615.469
 45779910 (2163) module 43, x -1.3075, y  8.235, z 496.921
 43684072 (2058) module 41, x -1.0325, y 6.3925, z 401.411

Track #35, length 5
 54172353 (2566) module 51, x -0.482502, y 8.5375, z 750.469
 52075468 (2472) module 49, x -0.427502, y 7.9325, z 705.469
 49978582 (2370) module 47, x -0.372501, y  7.355, z 660.469
 47881697 (2269) module 45, x -0.317501, y 6.7775, z 615.469
 45784570 (2165) module 43, x -0.290001, y 5.4025, z 496.921

Track #36, length 5
 54173328 (2567) module 51, x -0.262501, y 11.205, z 750.469
 52070045 (2471) module 49, x -1.5825, y 10.5175, z 705.469
 49966761 (2365) module 47, x -2.9025, y 9.8575, z 660.469
 47863734 (2258) module 45, x -4.1675, y 9.1425, z 615.469
 45750742 (2145) module 43, x -7.5775, y 7.3825, z 496.921

Track #37, length 5
 54182598 (2569) module 51, x 1.7175, y  8.235, z 750.469
 52084944 (2473) module 49, x 1.6075, y 7.7125, z 705.469
 49987289 (2372) module 47, x 1.4975, y 7.2175, z 660.469
 47889634 (2272) module 45, x 1.3875, y  6.695, z 615.469
 45790971 (2166) module 43, x  1.085, y 5.3475, z 496.921

Track #38, length 9
 54185532 (2570) module 51, x 2.3775, y 15.8525, z 750.469
 52087884 (2474) module 49, x 2.2675, y 14.9725, z 705.469
 49990236 (2373) module 47, x 2.1575, y 14.0925, z 660.469
 47892589 (2273) module 45, x 2.0475, y 13.1575, z 615.469
 45793946 (2167) module 43, x 1.7175, y 10.6825, z 496.921
 43695294 (2060) module 41, x 1.3875, y 8.7025, z 401.411
 41596892 (1951) module 39, x 1.1125, y 7.0525, z 324.463
 39498740 (1843) module 37, x 0.892498, y 5.7325, z 262.469
 37401086 (1733) module 35, x 0.782501, y 5.1825, z 237.469

Track #39, length 10
 54271735 (2571) module 51, x 3.4225, y 19.5375, z 751.531
 52092175 (2475) module 49, x 3.2025, y 18.3275, z 705.469
 49994021 (2374) module 47, x 2.9825, y 17.1175, z 660.469
 47895866 (2274) module 45, x   2.79, y 15.9625, z 615.469
 45796467 (2168) module 43, x 2.2675, y 12.8275, z 496.921
 43697313 (2061) module 41, x 1.8275, y 10.2975, z 401.411
 41598661 (1952) module 39, x 1.4975, y   8.29, z 324.463
 39500003 (1845) module 37, x 1.1675, y 6.6675, z 262.469
 37402351 (1734) module 35, x 1.0575, y 6.0075, z 237.469
 35304699 (1626) module 33, x 0.947498, y   5.32, z 212.469

Track #40, length 4
 53149666 (2476) module 50, x -5.0725, y -6.7225, z 738.469
 51050986 (2378) module 48, x -4.7425, y -6.2825, z 693.469
 48952305 (2279) module 46, x  -4.44, y -5.8975, z 648.469
 46853880 (2174) module 44, x -4.1375, y -5.5125, z 603.469

Track #41, length 6
 53144198 (2477) module 50, x -3.9175, y -11.7825, z 738.469
 51045780 (2379) module 48, x -3.6425, y -11.0125, z 693.469
 48947363 (2280) module 46, x -3.3675, y -10.1875, z 648.469
 46848945 (2175) module 44, x -3.0925, y -9.4175, z 603.469
 44748504 (2073) module 42, x -2.3775, y -7.2725, z 484.921
 42648823 (1969) module 40, x -1.8275, y -5.5675, z 389.411

Track #42, length 5
 53143245 (2478) module 50, x -3.6975, y -7.8775, z 738.469
 51045077 (2380) module 48, x -3.4775, y -7.4375, z 693.469
 48946910 (2281) module 46, x -3.2575, y -6.9425, z 648.469
 46848742 (2176) module 44, x -3.0375, y -6.5025, z 603.469
